"","FoldChange","log2(FC)"
"serotonin",0.107905590554166,-3.21215848255602
"L-glutamine",0.115678558557937,-3.11180661444172
"capric acid",0.217308676306435,-2.20218231790899
"D-glucose-6-phosphate",0.231200209718341,-2.11278538840053
"Beta- alanine",0.234217415277968,-2.09407974321112
"L-asparagine",0.327815905740044,-1.60904223869413
"beta-cyano-L-alanine",0.34494544630319,-1.53555987957955
"gamma-aminobutyric acid (GABA)",0.356843990457276,-1.48663461835521
"adenosine",0.361968136672019,-1.46606538953603
"myristic acid",0.435466285306619,-1.19936706815003
"Antiarol",0.442591119273557,-1.17595359157613
"glycerol 1-phosphate",2.09762420417622,1.06875623781358
"1,3-diaminopropane",0.508766255165919,-0.974925110427159
"5,6-dihydrouracil",0.543702195894577,-0.879111440008993
"L-threonine",0.55622377657935,-0.846262678825641
"glyceric acid",0.58491816361869,-0.77369330472188
"maleic acid",0.588023116194574,-0.766055223900974
"succinic acid",0.58845985295391,-0.764984102597338
"L-proline",0.605332696874423,-0.724199814969966
"xylose",0.653657572761431,-0.613393036312842
"phosphoric acid",0.654603587070791,-0.611306586859921
"aspartic acid",0.657246649710773,-0.605493212107142
"alpha ketoglutaric acid",0.659218179966978,-0.601172065068692
"L-serine",0.667892535402666,-0.582312104634015
"allantoin",0.669889431668837,-0.578005103118116
"shikimic acid",1.48780947188495,0.573189787490241
"L-glutamic acid",0.672564860716802,-0.572254690084593
"galactinol",0.67297564337574,-0.571373803747031
"citric acid",0.681646503644922,-0.552904331669099
"threonic acid",0.693909444323519,-0.527180692529929
"L-lysine",0.704801292843993,-0.504711524235865
"L-valine",0.706872679087824,-0.500477712653492
"stearic acid",0.731019282855917,-0.452018632740166
"L-homoserine",0.746673247612579,-0.42145105291659
"nicotinic acid",0.747300430118742,-0.420239742224821
"quinic acid",1.32584548760054,0.406912655344145
"3,4 dihydroxyphenylalanine (DOPA)",1.30962768376315,0.389156723874673
"pantothenic acid",0.772824985937606,-0.371786356684747
"fumaric acid",0.77696576434315,-0.364077064723517
"lactose",0.780142011603922,-0.358191328876343
"pelargonic acid (nonanoic acid)",1.277989940812,0.353876480731107
"maltose",0.784631526851156,-0.349912790165664
"benzoquinone",1.22855481630592,0.296962230063445
"acetohydroxamic acid",0.814510134620192,-0.295995445153967
"caffeic acid",1.21269573768062,0.278217627291568
"adenine",1.2114883110646,0.276780485143787
"dehydroascorbic acid",0.829169401376568,-0.270261216858751
"beta-gentiobiose",1.20434608728455,0.268250032182124
"Trehalose",1.20434376943033,0.268247255604824
"D-malic acid",0.838764052599911,-0.253663062550552
"glycerol",0.848989104807339,-0.236182055291946
"heptanoic acid",0.857416107851582,-0.221932574280986
"ethanolamine",0.861860992683524,-0.214472895338606
"glycine",0.862382857564087,-0.213599594386327
"D-mannitol",1.15732716980905,0.210796763786815
"4-hydroxy-3-methoxybenzoic acid",1.13485447354598,0.182507307424297
"myo-inositol",0.882913666178938,-0.179655720960281
"L-mimosine",1.13127438722542,0.177948893146075
"trans-aconitic acid",1.12575855988987,0.170897447489849
"tyrosine",0.894356106473701,-0.161078710067883
"3,5-dimethoxy-4-hydroxycinnamic acid",0.896919949219193,-0.156948865615815
"fructose",0.910592459363326,-0.135122582470925
"4-hydroxycinnamic acid",1.09731036356098,0.133971635715625
"glyoxylic acid",0.921334658072503,-0.118202810617355
"oxalic acid",1.08286620298276,0.114854997131021
"L-alanine",1.080399751333,0.111565212905935
"L-tryptophan",1.07987024743001,0.110857974763749
"Sucrose",0.927177292484051,-0.109082861180824
"Pyruvic acid",1.07203086391009,0.100346441774277
"2-hydroxypyridine",1.06611135588167,0.092358136209507
"D-glucose",1.06491613682745,0.0907398212989741
"ferulic acid",0.939104245094908,-0.0906427820201027
"arachidic acid",0.940373094952009,-0.088694832304963
"D-mannose",1.06169540011861,0.0863699170172624
"sedoheptulose anhydride monohydrate",0.944143188905864,-0.0829224193481399
"arbutin",0.946134852756882,-0.079882269104697
"3,4-dihydroxybenzoic acid ",0.956748564337206,-0.0637882638487234
"spermidine",0.956887277018136,-0.0635791121460723
"benzene-1,2,4-triol ",1.03732027114993,0.0528613929584816
"itaconic acid",0.964670737909607,-0.0518914901684433
"3-hydroxypyridine",0.96651958764352,-0.0491291242616979
"lauric acid",1.02764903976481,0.0393476428965033
"4-hydroxybenzoic acid",0.974821222569929,-0.0367904349595675
"benzoic acid",0.976546671042642,-0.0342390999583145
"elaidic acid",1.02143865276657,0.0306025589343967
"palmitic acid",0.984830547001806,-0.0220525835477886
"1,6-anhydro-glucose ",1.0122831388014,0.0176128728507486
"ribose",1.01073904708625,0.0154105698723188
"eicosapentaenoic acid",1.00467250815045,0.00672530452431826
"L-Isoleucine",1.00307406789899,0.00442813979380337
"L-leucine",1.00298117954172,0.00429453472718389
"D-saccharic acid",0.999429939080175,-0.000822658567071134
